T=61056	 X=4939	 Y=3411	 Z=1317
T=61057	 X=4946	 Y=3405	 Z=1501
T=61058	 X=4954	 Y=3390	 Z=1617
T=61059	 X=4827	 Y=3318	 Z=1019
T=61060	 X=4790	 Y=3289	 Z=1231
T=61061	 X=4739	 Y=3262	 Z=1164
T=61062	 X=4792	 Y=3260	 Z=1395
T=61063	 X=4813	 Y=3277	 Z=1463
T=61064	 X=4846	 Y=3314	 Z=1459
T=61065	 X=4863	 Y=3328	 Z=1454
T=61067	 X=4930	 Y=3370	 Z=1602
T=61068	 X=4893	 Y=3347	 Z=1374
T=61069	 X=4913	 Y=3368	 Z=1472
T=61070	 X=4917	 Y=3371	 Z=1380
T=61071	 X=4910	 Y=3372	 Z=1372
T=61072	 X=4910	 Y=3380	 Z=1377
T=61073	 X=4910	 Y=3374	 Z=1330
T=61074	 X=4908	 Y=3381	 Z=1331
T=61075	 X=4893	 Y=3366	 Z=1392
T=61076	 X=4869	 Y=3355	 Z=1369
T=61077	 X=4782	 Y=3311	 Z=1144
T=61078	 X=4769	 Y=3289	 Z=1129
T=61079	 X=4759	 Y=3277	 Z=1181
T=61080	 X=4750	 Y=3278	 Z=1159
T=61081	 X=4781	 Y=3306	 Z=1311
T=61082	 X=4617	 Y=3301	 Z=1033
T=61084	 X=4544	 Y=3264	 Z=860
T=61085	 X=4501	 Y=3230	 Z=759
T=61086	 X=4468	 Y=3221	 Z=754
T=61087	 X=4462	 Y=3160	 Z=819
T=61088	 X=4438	 Y=3176	 Z=696
T=61089	 X=4455	 Y=3174	 Z=701
T=61090	 X=4463	 Y=3181	 Z=676
T=61091	 X=4476	 Y=3180	 Z=653
T=61092	 X=4511	 Y=3190	 Z=654
T=61093	 X=4505	 Y=3189	 Z=637
T=61094	 X=4468	 Y=3238	 Z=622
T=61095	 X=4511	 Y=3225	 Z=658
T=61096	 X=4507	 Y=3196	 Z=709
T=61097	 X=4522	 Y=3201	 Z=714
T=61098	 X=4549	 Y=3186	 Z=739
T=61100	 X=4531	 Y=3203	 Z=706
T=61101	 X=4523	 Y=3200	 Z=722
T=61102	 X=4526	 Y=3194	 Z=750
T=61103	 X=4531	 Y=3203	 Z=753
T=61104	 X=4536	 Y=3208	 Z=734
T=61105	 X=4526	 Y=3197	 Z=728
T=61106	 X=4523	 Y=3191	 Z=704
T=61107	 X=4507	 Y=3188	 Z=696
T=61108	 X=4518	 Y=3207	 Z=703
T=61109	 X=4514	 Y=3205	 Z=704
T=61110	 X=4512	 Y=3193	 Z=723
T=61111	 X=4523	 Y=3197	 Z=748
T=61112	 X=4522	 Y=3187	 Z=749
T=61113	 X=4525	 Y=3200	 Z=748
T=61114	 X=4524	 Y=3195	 Z=753
T=61115	 X=4527	 Y=3197	 Z=767
T=61117	 X=4530	 Y=3200	 Z=757
T=61118	 X=4533	 Y=3179	 Z=774
T=61119	 X=4538	 Y=3175	 Z=747
T=61120	 X=4708	 Y=3246	 Z=941
T=61121	 X=4852	 Y=3315	 Z=1118
T=61122	 X=4757	 Y=3299	 Z=935
T=61123	 X=4803	 Y=3314	 Z=1011
T=61124	 X=4852	 Y=3324	 Z=1139
T=61125	 X=4860	 Y=3325	 Z=1226
T=61126	 X=4847	 Y=3313	 Z=1220
T=61127	 X=4908	 Y=3347	 Z=1367
T=61128	 X=4868	 Y=3322	 Z=1279
T=61129	 X=4876	 Y=3319	 Z=1320
T=61130	 X=4883	 Y=3330	 Z=1359
T=61131	 X=4872	 Y=3331	 Z=1339
T=61133	 X=4875	 Y=3332	 Z=1281
T=61134	 X=4830	 Y=3313	 Z=1173
T=61135	 X=4831	 Y=3312	 Z=1254
T=61136	 X=4842	 Y=3322	 Z=1321
T=61137	 X=4786	 Y=3302	 Z=1174
T=61138	 X=4803	 Y=3323	 Z=1242
T=61139	 X=4814	 Y=3341	 Z=1324
T=61140	 X=4841	 Y=3393	 Z=1564
T=61141	 X=4861	 Y=3372	 Z=1496
T=61142	 X=4843	 Y=3345	 Z=1430
T=61143	 X=4865	 Y=3344	 Z=1486
T=61144	 X=4905	 Y=3363	 Z=1492
T=61145	 X=4844	 Y=3305	 Z=1288
T=61146	 X=4735	 Y=3268	 Z=917
T=61147	 X=4767	 Y=3299	 Z=1105
T=61148	 X=4866	 Y=3417	 Z=1026
T=61150	 X=4897	 Y=3409	 Z=1171
T=61151	 X=4898	 Y=3370	 Z=1268
T=61152	 X=4878	 Y=3351	 Z=1290
T=61153	 X=4807	 Y=3324	 Z=1137
T=61154	 X=4738	 Y=3315	 Z=1007
T=61155	 X=4715	 Y=3302	 Z=1023
T=61156	 X=4753	 Y=3310	 Z=1154
T=61157	 X=4762	 Y=3315	 Z=1188
T=61158	 X=4799	 Y=3302	 Z=1309
T=61159	 X=4802	 Y=3299	 Z=1267
T=61160	 X=4772	 Y=3288	 Z=1179
T=61161	 X=4745	 Y=3278	 Z=1094
T=61162	 X=4816	 Y=3304	 Z=1229
T=61163	 X=4805	 Y=3315	 Z=1252
T=61164	 X=4794	 Y=3306	 Z=1248
T=61166	 X=4709	 Y=3269	 Z=977
T=61167	 X=4659	 Y=3234	 Z=927
T=61168	 X=4676	 Y=3245	 Z=984
T=61169	 X=4817	 Y=3291	 Z=1239
T=61170	 X=4754	 Y=3291	 Z=1072
T=61171	 X=4745	 Y=3285	 Z=1055
T=61172	 X=4814	 Y=3320	 Z=1170
T=61173	 X=4834	 Y=3331	 Z=1228
T=61174	 X=4797	 Y=3320	 Z=1163
T=61175	 X=4815	 Y=3317	 Z=1185
T=61176	 X=4845	 Y=3328	 Z=1308
T=61177	 X=4740	 Y=3279	 Z=1073
T=61178	 X=4665	 Y=3228	 Z=915
T=61179	 X=4620	 Y=3231	 Z=856
T=61180	 X=4596	 Y=3238	 Z=777
T=61182	 X=4587	 Y=3237	 Z=765
T=61183	 X=4707	 Y=3286	 Z=876
T=61184	 X=4663	 Y=3272	 Z=799
T=61185	 X=4610	 Y=3252	 Z=751
T=61186	 X=4586	 Y=3230	 Z=723
T=61187	 X=4584	 Y=3223	 Z=716
T=61188	 X=4755	 Y=3240	 Z=944
T=61189	 X=4842	 Y=3285	 Z=1043
T=61190	 X=4795	 Y=3339	 Z=964
T=61191	 X=4783	 Y=3335	 Z=984
T=61192	 X=4770	 Y=3320	 Z=998
T=61193	 X=4752	 Y=3297	 Z=991
