X= 2526, Y= 4674
X= 2533, Y= 4639
X= 2545, Y= 4665
X= 2570, Y= 4630
X= 2449, Y= 4684
X= 2421, Y= 4671
X= 2409, Y= 4653
X= 2379, Y= 4637
X= 2384, Y= 4623
X= 2409, Y= 4648
X= 2464, Y= 4656
X= 2480, Y= 4668
X= 2452, Y= 4692
X= 2447, Y= 4658
X= 2462, Y= 4674
X= 2408, Y= 4646
X= 2418, Y= 4651
X= 2433, Y= 4659
X= 2437, Y= 4660
X= 2448, Y= 4625
X= 2372, Y= 4624
X= 2363, Y= 4575
X= 2272, Y= 4573
X= 2226, Y= 4594
X= 2192, Y= 4613
X= 2224, Y= 4629
X= 2237, Y= 4675
X= 2194, Y= 4665
X= 2158, Y= 4660
X= 2104, Y= 4663
X= 2133, Y= 4680
X= 2139, Y= 4674
X= 2154, Y= 4662
X= 2183, Y= 4661
X= 2240, Y= 4605
X= 2167, Y= 4607
X= 2083, Y= 4630
X= 2047, Y= 4587
X= 1984, Y= 4598
X= 2005, Y= 4622
X= 2051, Y= 4564
X= 2088, Y= 4595
X= 2086, Y= 4604
X= 2000, Y= 4569
X= 2003, Y= 4635
X= 1930, Y= 4593
X= 1879, Y= 4643
X= 1814, Y= 4647
X= 1815, Y= 4718
X= 1990, Y= 4954
X= 1876, Y= 4702
X= 1878, Y= 4792
X= 1897, Y= 4914
X= 1739, Y= 4758
X= 1597, Y= 4628
X= 1612, Y= 4671
X= 1622, Y= 4677
X= 1594, Y= 4667
X= 1507, Y= 4652
X= 1505, Y= 4614
X= 1497, Y= 4573
X= 1463, Y= 4568
X= 1426, Y= 4575
X= 1383, Y= 4614
X= 1302, Y= 4618
X= 1324, Y= 4581
X= 1267, Y= 4608
X= 1277, Y= 4634
X= 1242, Y= 4643
X= 1256, Y= 4620
X= 1222, Y= 4556
X= 1236, Y= 4490
X= 1181, Y= 4451
X= 1062, Y= 4662
X= 1079, Y= 4678
X= 1022, Y= 4646
X= 1001, Y= 4658
X= 975, Y= 4719
X= 1029, Y= 4652
X= 1013, Y= 4643
X= 988, Y= 4630
X= 1018, Y= 4562
X= 938, Y= 4528
X= 912, Y= 4550
X= 832, Y= 4520
X= 804, Y= 4501
X= 728, Y= 4518
X= 728, Y= 4522
X= 704, Y= 4542
X= 778, Y= 4534
X= 732, Y= 4546
X= 785, Y= 4573
X= 834, Y= 4585
X= 929, Y= 4516
X= 755, Y= 4790
X= 651, Y= 4917
X= 645, Y= 4909
X= 651, Y= 4870
X= 636, Y= 4866
X= 622, Y= 4855
X= 596, Y= 4851
X= 599, Y= 4867
X= 590, Y= 4899
X= 591, Y= 4829
X= 926, Y= 4446
X= 786, Y= 4540
X= 744, Y= 4600
X= 721, Y= 4573
X= 151, Y= 4681
X= 459, Y= 4680
X= 392, Y= 4709
X= 494, Y= 4722
X= 354, Y= 4407
X= 438, Y= 4437
X= 354, Y= 4609
X= 476, Y= 4454
X= 441, Y= 4430
X= 429, Y= 4448
X= 459, Y= 4407
X= 501, Y= 4458
X= 455, Y= 4428
X= 440, Y= 4384
X= 413, Y= 4407
X= 484, Y= 4411
X= 423, Y= 4406
X= 410, Y= 4393
X= 488, Y= 4412
X= 549, Y= 4442
X= 459, Y= 4413
X= 424, Y= 4398
X= 164, Y= 4669
X= 426, Y= 4411
X= 407, Y= 4372
X= 419, Y= 4406
X= 391, Y= 4371
X= 376, Y= 4398
X= 438, Y= 4419
X= 516, Y= 4412
X= 352, Y= 4394
X= 374, Y= 4354
X= 396, Y= 4341
