X= 2750, Y= 1118
X= 2768, Y= 1218
X= 2784, Y= 1293
X= 2789, Y= 1321
X= 2770, Y= 1273
X= 3074, Y= 1089
X= 2780, Y= 987
X= 2783, Y= 1183
X= 2787, Y= 1257
X= 2779, Y= 1284
X= 2762, Y= 1275
X= 2748, Y= 1258
X= 2725, Y= 1198
X= 2705, Y= 1150
X= 2688, Y= 1102
X= 2674, Y= 1035
X= 2673, Y= 1003
X= 2678, Y= 974
X= 2683, Y= 956
X= 2698, Y= 951
X= 2713, Y= 938
X= 2721, Y= 951
X= 2724, Y= 934
X= 2734, Y= 962
X= 2732, Y= 973
X= 2734, Y= 999
X= 2727, Y= 988
X= 2736, Y= 981
X= 2736, Y= 968
X= 2739, Y= 966
X= 2734, Y= 967
X= 2724, Y= 952
X= 2716, Y= 932
X= 2699, Y= 947
X= 2677, Y= 975
X= 2655, Y= 986
X= 2650, Y= 1025
X= 2644, Y= 1049
X= 2654, Y= 1055
X= 2664, Y= 1032
X= 2683, Y= 1014
X= 2696, Y= 998
X= 2702, Y= 1021
X= 2714, Y= 1072
X= 2741, Y= 1171
X= 2751, Y= 1272
X= 2771, Y= 1410
X= 2756, Y= 1496
X= 2733, Y= 1545
X= 2711, Y= 1561
X= 2657, Y= 1500
X= 2610, Y= 1431
X= 2570, Y= 1414
X= 2647, Y= 1637
X= 2684, Y= 1760
X= 2733, Y= 1900
X= 2767, Y= 1955
X= 2795, Y= 2035
X= 2807, Y= 2088
X= 2819, Y= 2117
X= 2814, Y= 2129
X= 2793, Y= 2157
X= 2799, Y= 2163
X= 2783, Y= 2181
X= 2784, Y= 2244
X= 2796, Y= 2281
X= 2816, Y= 2336
X= 2828, Y= 2384
X= 2837, Y= 2395
X= 2830, Y= 2422
X= 2808, Y= 2453
X= 2812, Y= 2460
X= 2815, Y= 2472
X= 2833, Y= 2437
X= 2872, Y= 2345
X= 2894, Y= 2256
X= 2917, Y= 2193
X= 2929, Y= 2149
X= 2949, Y= 2110
X= 2949, Y= 2117
X= 2950, Y= 2153
X= 2962, Y= 2185
X= 2956, Y= 2252
X= 2998, Y= 2269
X= 2975, Y= 2303
X= 2950, Y= 2340
X= 2954, Y= 2362
X= 2946, Y= 2366
X= 2920, Y= 2359
X= 2900, Y= 2373
X= 2875, Y= 2384
X= 2864, Y= 2396
X= 2864, Y= 2397
X= 2863, Y= 2398
X= 2866, Y= 2391
X= 2862, Y= 2391
X= 2866, Y= 2405
X= 2875, Y= 2419
X= 2889, Y= 2419
X= 2900, Y= 2430
X= 2907, Y= 2439
X= 2921, Y= 2455
X= 2927, Y= 2466
X= 2929, Y= 2461
X= 2905, Y= 2436
X= 2891, Y= 2437
X= 2903, Y= 2420
X= 2929, Y= 2418
X= 2952, Y= 2401
X= 2977, Y= 2397
X= 2985, Y= 2398
X= 2961, Y= 2396
