X= 2258, Y= 1363
X= 2231, Y= 1304
X= 2182, Y= 1274
X= 2181, Y= 1236
X= 2174, Y= 1326
X= 1945, Y= 1863
X= 1919, Y= 1815
X= 1924, Y= 1851
X= 1966, Y= 1850
X= 1969, Y= 1911
X= 1972, Y= 1881
X= 1959, Y= 1895
X= 2435, Y= 1275
X= 2444, Y= 1344
X= 2446, Y= 1280
X= 2159, Y= 1905
X= 2520, Y= 1401
X= 2548, Y= 1482
X= 2544, Y= 1389
X= 2553, Y= 1410
X= 2610, Y= 1435
X= 2608, Y= 1413
X= 2606, Y= 1531
X= 2681, Y= 1544
X= 2666, Y= 1450
X= 2799, Y= 60
X= 2639, Y= 1347
X= 2648, Y= 1357
X= 2662, Y= 1352
X= 2677, Y= 1366
X= 2726, Y= 1403
X= 2772, Y= 1396
X= 2865, Y= 1484
X= 2855, Y= 1489
X= 2877, Y= 1505
X= 2891, Y= 1488
X= 2927, Y= 1501
X= 2929, Y= 1462
X= 2965, Y= 1414
X= 3012, Y= 1425
X= 3020, Y= 1386
X= 3038, Y= 1351
X= 3062, Y= 1326
X= 3072, Y= 1314
X= 3097, Y= 1408
X= 2997, Y= 1197
X= 3028, Y= 1249
X= 3048, Y= 1251
X= 3123, Y= 1256
X= 3104, Y= 1235
X= 3006, Y= 1423
X= 3148, Y= 1255
X= 3186, Y= 1258
X= 3195, Y= 1309
X= 3221, Y= 1308
X= 3232, Y= 1251
X= 3368, Y= 1340
X= 3376, Y= 1327
X= 3400, Y= 1213
X= 3445, Y= 1312
X= 3499, Y= 1411
X= 3531, Y= 1514
X= 3565, Y= 1447
X= 3605, Y= 1540
X= 3603, Y= 1522
X= 3620, Y= 1517
X= 3622, Y= 1499
X= 3661, Y= 1479
X= 3740, Y= 1702
X= 3570, Y= 1431
X= 3765, Y= 1611
X= 3640, Y= 1470
X= 3639, Y= 1404
X= 3794, Y= 1768
X= 3788, Y= 1693
X= 3773, Y= 1429
X= 3792, Y= 1382
X= 3798, Y= 1281
X= 3805, Y= 1190
X= 3808, Y= 1238
X= 3844, Y= 1290
X= 3844, Y= 1263
X= 3876, Y= 1278
X= 3900, Y= 1279
X= 3909, Y= 1290
X= 3902, Y= 1232
X= 3934, Y= 1180
X= 3961, Y= 1238
X= 4011, Y= 1249
X= 4022, Y= 1269
X= 4054, Y= 1242
X= 4145, Y= 1247
X= 4109, Y= 1391
X= 4239, Y= 1625
X= 4283, Y= 1737
X= 4304, Y= 1826
X= 4223, Y= 1427
X= 4244, Y= 1333
X= 4268, Y= 1320
X= 4288, Y= 1317
X= 4287, Y= 1258
X= 4311, Y= 1347
X= 4343, Y= 1298
X= 4349, Y= 1334
X= 4378, Y= 1320
X= 4392, Y= 1306
X= 4442, Y= 1324
X= 4486, Y= 1355
X= 4476, Y= 1294
X= 4506, Y= 1311
X= 4531, Y= 1288
X= 4557, Y= 1425
X= 4561, Y= 1414
X= 4665, Y= 1533
X= 4597, Y= 1359
X= 4560, Y= 1302
X= 4637, Y= 1329
X= 4655, Y= 1488
X= 4737, Y= 1673
X= 4642, Y= 1322
X= 4695, Y= 1592
X= 4576, Y= 1073
X= 4704, Y= 1258
X= 4755, Y= 1384
X= 4818, Y= 1445
X= 4792, Y= 1302
X= 4845, Y= 1345
X= 4849, Y= 1339
X= 4835, Y= 1368
X= 4883, Y= 1339
X= 4903, Y= 1387
X= 4928, Y= 1424
X= 4922, Y= 1383
X= 4958, Y= 1374
X= 4980, Y= 1382
X= 4958, Y= 1428
X= 4985, Y= 1307
X= 4958, Y= 1242
X= 4996, Y= 1312
X= 5035, Y= 1324
X= 5206, Y= 1687
X= 5193, Y= 1774
X= 5206, Y= 1599
X= 5242, Y= 1631
X= 5216, Y= 1536
X= 5133, Y= 1384
X= 5045, Y= 1070
X= 5074, Y= 959
X= 5021, Y= 825
X= 5017, Y= 800
X= 5061, Y= 1150
X= 5105, Y= 1252
X= 5146, Y= 1275
X= 5167, Y= 1277
X= 5156, Y= 1325
X= 5155, Y= 1398
X= 5201, Y= 1413
X= 5256, Y= 1405
X= 5184, Y= 1400
X= 5195, Y= 1404
X= 5142, Y= 1417
X= 5182, Y= 1399
X= 5151, Y= 1370
X= 5113, Y= 1421
X= 5071, Y= 1553
X= 5387, Y= 1328
X= 5111, Y= 1490
X= 5101, Y= 1554
X= 5064, Y= 1597
X= 5068, Y= 1671
X= 5036, Y= 1514
X= 5072, Y= 1583
X= 5093, Y= 1580
X= 5062, Y= 1553
X= 5090, Y= 1621
X= 5119, Y= 1522
X= 5130, Y= 1575
X= 5075, Y= 1523
X= 5086, Y= 1517
X= 5110, Y= 1558
