T=68780	 X=840	 Y=19705	 Z=3222
T=68780	 X=808	 Y=19618	 Z=3114
T=68780	 X=773	 Y=19547	 Z=3041
T=68780	 X=718	 Y=19452	 Z=2978
T=68780	 X=689	 Y=19301	 Z=2980
T=68780	 X=658	 Y=19220	 Z=2970
T=68780	 X=761	 Y=19146	 Z=3095
T=68780	 X=757	 Y=19109	 Z=3152
T=68780	 X=739	 Y=19056	 Z=3143
T=68780	 X=742	 Y=19011	 Z=3153
T=68780	 X=681	 Y=18943	 Z=3160
T=68781	 X=647	 Y=18875	 Z=3160
T=68781	 X=585	 Y=18785	 Z=3152
T=68781	 X=404	 Y=18694	 Z=3180
T=68781	 X=570	 Y=18670	 Z=3173
T=68781	 X=640	 Y=18631	 Z=3163
T=68781	 X=686	 Y=18590	 Z=3200
T=68781	 X=780	 Y=18586	 Z=3295
T=68781	 X=888	 Y=18531	 Z=3378
T=68781	 X=985	 Y=18470	 Z=3517
T=68781	 X=1032	 Y=18411	 Z=3597
T=68781	 X=1047	 Y=18358	 Z=3654
T=68781	 X=1048	 Y=18270	 Z=3697
T=68781	 X=1082	 Y=18212	 Z=3696
T=68781	 X=788	 Y=18101	 Z=3865
T=68781	 X=1020	 Y=18035	 Z=3969
T=68782	 X=1076	 Y=18016	 Z=3908
T=68782	 X=849	 Y=17893	 Z=4129
T=68782	 X=908	 Y=17846	 Z=4170
T=68782	 X=971	 Y=17790	 Z=4209
T=68782	 X=1084	 Y=17746	 Z=4274
T=68782	 X=1068	 Y=17716	 Z=4188
T=68782	 X=1075	 Y=17691	 Z=4043
T=68782	 X=1146	 Y=17646	 Z=3991
T=68782	 X=1191	 Y=17587	 Z=3959
T=68782	 X=1221	 Y=17533	 Z=3929
T=68782	 X=1243	 Y=17481	 Z=3912
T=68782	 X=1007	 Y=17380	 Z=4014
T=68782	 X=751	 Y=17302	 Z=4077
T=68782	 X=290	 Y=17218	 Z=4192
T=68782	 X=222	 Y=17161	 Z=4188
T=68782	 X=-534	 Y=16962	 Z=4135
T=68783	 X=-79	 Y=16950	 Z=4075
T=68783	 X=23	 Y=17009	 Z=3971
T=68783	 X=155	 Y=17001	 Z=3809
T=68783	 X=342	 Y=16923	 Z=3729
T=68783	 X=241	 Y=16790	 Z=3747
T=68783	 X=327	 Y=16723	 Z=3843
T=68783	 X=448	 Y=16666	 Z=3981
T=68783	 X=452	 Y=16665	 Z=3844
T=68783	 X=479	 Y=16643	 Z=3740
T=68783	 X=784	 Y=16554	 Z=3946
T=68783	 X=1010	 Y=16487	 Z=4082
T=68783	 X=1168	 Y=16431	 Z=4180
T=68783	 X=1138	 Y=16380	 Z=4110
T=68783	 X=1015	 Y=16339	 Z=4059
T=68783	 X=914	 Y=16293	 Z=4002
T=68784	 X=840	 Y=16234	 Z=3982
T=68784	 X=797	 Y=16165	 Z=3938
T=68784	 X=749	 Y=16076	 Z=3897
T=68784	 X=711	 Y=15979	 Z=3840
T=68784	 X=645	 Y=15891	 Z=3795
T=68784	 X=715	 Y=15869	 Z=3890
T=68784	 X=740	 Y=15823	 Z=3940
T=68784	 X=722	 Y=15744	 Z=3926
T=68784	 X=715	 Y=15676	 Z=3878
T=68784	 X=682	 Y=15585	 Z=3897
T=68784	 X=684	 Y=15492	 Z=3897
T=68784	 X=714	 Y=15396	 Z=3893
T=68784	 X=714	 Y=15306	 Z=3868
T=68784	 X=625	 Y=15196	 Z=3863
T=68784	 X=568	 Y=15113	 Z=3852
T=68784	 X=688	 Y=14964	 Z=4134
T=68785	 X=654	 Y=14930	 Z=4039
