T=69438	 X=2308	 Y=16601	 Z=-2138
T=69438	 X=2313	 Y=16604	 Z=-2144
T=69438	 X=2335	 Y=16603	 Z=-2151
T=69438	 X=2331	 Y=16602	 Z=-2152
T=69438	 X=2314	 Y=16606	 Z=-2155
T=69438	 X=2299	 Y=16611	 Z=-2127
T=69439	 X=2326	 Y=16615	 Z=-2126
T=69439	 X=2315	 Y=16616	 Z=-2134
T=69439	 X=2323	 Y=16612	 Z=-2144
T=69439	 X=2318	 Y=16618	 Z=-2144
T=69439	 X=2310	 Y=16614	 Z=-2145
T=69439	 X=2322	 Y=16621	 Z=-2151
T=69439	 X=2325	 Y=16613	 Z=-2164
T=69439	 X=2289	 Y=16611	 Z=-2171
T=69439	 X=2281	 Y=16607	 Z=-2144
T=69439	 X=2277	 Y=16605	 Z=-2143
T=69439	 X=2259	 Y=16596	 Z=-2135
T=69439	 X=2265	 Y=16595	 Z=-2125
T=69439	 X=2254	 Y=16601	 Z=-2138
T=69439	 X=2281	 Y=16616	 Z=-2128
T=69439	 X=2273	 Y=16610	 Z=-2152
T=69439	 X=2287	 Y=16608	 Z=-2146
T=69440	 X=2306	 Y=16602	 Z=-2148
T=69440	 X=2295	 Y=16601	 Z=-2139
T=69440	 X=2313	 Y=16599	 Z=-2150
T=69440	 X=2322	 Y=16599	 Z=-2149
T=69440	 X=2345	 Y=16600	 Z=-2137
T=69440	 X=2341	 Y=16610	 Z=-2137
T=69440	 X=2332	 Y=16611	 Z=-2134
T=69440	 X=2333	 Y=16615	 Z=-2145
T=69440	 X=2321	 Y=16612	 Z=-2144
